adr_term,adr_synonyms,meddra_code,adr_term_lower
Spontaneous haemorrhage,Spontaneous haemorrhage | Spontaneous hemorrhage,10074557,spontaneous haemorrhage
Purpuras (excl thrombocytopenic),Not Available,10037550,purpuras (excl thrombocytopenic)
Henoch-Schonlein purpura,"Allergic purpura | Allergic vascular purpura | Anaphylactic vascular purpura | Anaphylactoid purpura | Anaphylactoid vascular purpura | Henoch Shonlein purpura | Henoch-Schonlein | Henoch-Schonlein purpura | Purpura allergic | Purpura anaphylactoid | Purpura vascular allergic | Schoenlein-Henoch purpura | Vasculitis Henoch-Schonlein like | Rheumatic purpura | IgA vasculitis | Immunoglobulin A-associated vasculitis | Purpura, Schoenlein-Henoch | Purpura, Schoenlein Henoch | Anaphylactoid Purpura | Purpura, Anaphylactoid | Henoch Purpura | Purpura, Henoch | Purpura, Schonlein-Henoch | Purpura, Schonlein Henoch | Purpuras, Schonlein-Henoch | Schonlein-Henoch Purpura | Schonlein-Henoch Purpuras | Schoenlein-Henoch Purpura | Schoenlein Henoch Purpura | Henoch-Schonlein Purpura | Henoch-Schonlein Purpuras | Purpura, Henoch-Schonlein | Purpuras, Henoch-Schonlein | Henoch Schonlein Purpura | Henoch Schonlein Purpuras | Purpura, Henoch Schonlein | Purpuras, Henoch Schonlein | Schonlein Purpura, Henoch | Schonlein Purpuras, Henoch | Allergic Purpura | Purpura, Allergic | Henoch-Schoenlein Purpura | Henoch Schoenlein Purpura | Purpura, Henoch-Schoenlein | Vasculitis, Hemorrhagic | Hemorrhagic Vasculitis | Rheumatoid Purpura | Purpura, Rheumatoid | Purpura Hemorrhagica | Hemorrhagica, Purpura | Purpura, Nonthrombocytopenic | Nonthrombocytopenic Purpura | Purpura, Nonthrombopenic | Nonthrombopenic Purpura | Nonthrombopenic Purpuras | Purpuras, Nonthrombopenic",10019617,henoch-schonlein purpura
Purpura,Dermatitis haemorrhagic | Dermatitis hemorrhagic | Haemolytic type rash | Haemorrhage purpuric | Idiopathic purpura | Purpura | Purpura NOS | Purpuric rash | Rash haemorrhagic | Rash hemorrhagic | Rash purpitic | Rash purpuric | Purpura symptomatica | Hemorrhage purpuric | Hemolytic type rash | Wet purpura | Dry purpura | Retiform purpura | Mechanical purpura | Purpuras | Petechiae,10037549,purpura
Purpura non-thrombocytopenic,Other nonthrombocytopenic purpuras | Purpura nonthrombocytopenic | Purpura non-thrombocytopenic | Purpura simplex,10057739,purpura non-thrombocytopenic
Vascular purpura,Peliosis | Purpura vascular | Vascular purpura | Orthostatic purpura | Stasis purpura,10047097,vascular purpura
Hypersensitivity vasculitis,"Allergic angiitis | Allergic cutaneous angiitis | Allergic vasculitis | Hypersensitivity angiitis | Hypersensitivity angiitis, unspecified | Hypersensitivity vasculitis | Localised visceral arteritis | Other specified hypersensitivity angiitis | Vasculitis allergic | Vasculitis neutrophilic | Localized visceral arteritis | Vasculitis eosinophilic | Churg-Strauss Syndrome | Churg Strauss Syndrome | Syndrome, Churg-Strauss | Allergic Granulomatous Angiitis | Allergic Granulomatous Angiitides | Angiitides, Allergic Granulomatous | Granulomatous Angiitides, Allergic | Granulomatous Angiitis, Allergic | Angiitis, Allergic Granulomatous | Vasculitis, Churg-Strauss | Churg-Strauss Vasculitis | Vasculitis, Churg Strauss | Allergic Angiitis and Granulomatosis | Allergic Granulomatosis | Allergic Granulomatoses | Granulomatoses, Allergic | Granulomatosis, Allergic | Allergic Granulomatous and Angiitis | Eosinophilic Granulomatous Vasculitis | Eosinophilic Granulomatous Vasculitides | Granulomatous Vasculitides, Eosinophilic | Granulomatous Vasculitis, Eosinophilic | Vasculitides, Eosinophilic Granulomatous | Vasculitis, Eosinophilic Granulomatous | Allergic Angiitis | Allergic Angiitides | Angiitides, Allergic | Angiitis, Allergic | Granulomatous Allergic Angiitis | Allergic Angiitides, Granulomatous | Allergic Angiitis, Granulomatous | Angiitides, Granulomatous Allergic | Angiitis, Granulomatous Allergic | Granulomatous Allergic Angiitides",10020764,hypersensitivity vasculitis
Purpura senile,Purpura senile | Bateman's purpura senilis | Solar purpura | Actinic purpura,10037560,purpura senile
Chronic pigmented purpura,"Progressive pigmented purpura | Schamberg's disease | Majocchi's purpura | Chronic pigmented purpura | Pigmented purpuric dermatosis | Lichen aureus | Pigmentation Disorders | Disorder, Pigmentation | Disorders, Pigmentation | Pigmentation Disorder | Schamberg Disease | Disease, Schamberg | Schamberg's Disease | Disease, Schamberg's | Schambergs Disease | Ito Syndrome | Syndrome, Ito | Incontinentia Pigmenti Achromians",10072726,chronic pigmented purpura
Acute haemorrhagic oedema of infancy,Acute haemorrhagic oedema of infancy | Acute hemorrhagic edema of infancy,10070599,acute haemorrhagic oedema of infancy
Haemorrhagic vasculitis,"Haemorrhagic vasculitis | Hemorrhagic vasculitis | Purpura, Schoenlein-Henoch | Purpura, Schoenlein Henoch | Anaphylactoid Purpura | Purpura, Anaphylactoid | Henoch Purpura | Purpura, Henoch | Purpura, Schonlein-Henoch | Purpura, Schonlein Henoch | Purpuras, Schonlein-Henoch | Schonlein-Henoch Purpura | Schonlein-Henoch Purpuras | Schoenlein-Henoch Purpura | Schoenlein Henoch Purpura | Henoch-Schonlein Purpura | Henoch-Schonlein Purpuras | Purpura, Henoch-Schonlein | Purpuras, Henoch-Schonlein | Henoch Schonlein Purpura | Henoch Schonlein Purpuras | Purpura, Henoch Schonlein | Purpuras, Henoch Schonlein | Schonlein Purpura, Henoch | Schonlein Purpuras, Henoch | Allergic Purpura | Purpura, Allergic | Henoch-Schoenlein Purpura | Henoch Schoenlein Purpura | Purpura, Henoch-Schoenlein | Vasculitis, Hemorrhagic | Hemorrhagic Vasculitis | Rheumatoid Purpura | Purpura, Rheumatoid | Purpura Hemorrhagica | Hemorrhagica, Purpura | Purpura, Nonthrombocytopenic | Nonthrombocytopenic Purpura | Purpura, Nonthrombopenic | Nonthrombopenic Purpura | Nonthrombopenic Purpuras | Purpuras, Nonthrombopenic",10071252,haemorrhagic vasculitis
Henoch-Schonlein purpura nephritis,Henoch-Schonlein purpura nephritis,10069440,henoch-schonlein purpura nephritis
Oral purpura,Oral purpura,10083533,oral purpura
White blood cell disorders,Not Available,10047954,white blood cell disorders
Leukocytoses NEC,Not Available,10024379,leukocytoses nec
Leukaemoid reaction,"Leukaemoid | Leukaemoid reaction | Leukemoid | Leukemoid reaction | Pseudo leukaemia | Pseudo leukemia | Reaction leukemoid | Leukemoid Reaction | Leukemoid Reactions | Reaction, Leukemoid | Reactions, Leukemoid",10024328,leukaemoid reaction
Leukocytosis,Leucocytosis NOS | Leukocytosis | Polymorphonuclear leucocytosis | Polymorphonuclear leukocytosis | Leukocytoses | Pleocytosis | Pleocytoses,10024378,leukocytosis
Lymphocytosis,Lymphocytosis | Lymphocytoses,10025280,lymphocytosis
Monocytosis,Monocytosis,10027906,monocytosis
Neutrophilia,Neutrophilia,10029379,neutrophilia
