adr_term,adr_synonyms,meddra_code,adr_term_lower
Locked-in syndrome,"Akinetic mutism | Locked-in state | Locked-in syndrome | Akinetic Mutism | Mutism, Akinetic | Akinetic Mutisms | Coma Vigilans | Akinetic Autism | Autism, Akinetic | Coma Vigil | Vigil, Coma | Vigils, Coma",10024792,locked-in syndrome
Peripheral paralysis,Peripheral paralysis,10054808,peripheral paralysis
Thyrotoxic periodic paralysis,Thyrotoxic periodic paralysis | Acquired hypokalaemic periodic paralysis | Acquired hypokalemic periodic paralysis,10043788,thyrotoxic periodic paralysis
Cervical spinal cord paralysis,Cervical spinal cord paralysis | C5 palsy,10057276,cervical spinal cord paralysis
Peripheral nerve paresis,Paresis median nerve | Paresis ulnar nerve | Peripheral nerve paresis,10071663,peripheral nerve paresis
Phrenic nerve paralysis,Phrenic nerve paralysis | Phrenic nerve palsy,10064964,phrenic nerve paralysis
Postictal paralysis,"Postictal paralysis | Todd's paralysis | Paralysis | Paralyses | Plegia | Plegias | Palsy | Palsies | Todd Paralysis | Paralysis, Todd | Todd's Paralysis | Paralysis, Todd's | Todds Paralysis",10052469,postictal paralysis
Parkinson's disease and parkinsonism,Not Available,10034005,parkinson's disease and parkinsonism
Cogwheel rigidity,"Cogwheel rigidity | Rigidity cogwheel | Muscle Rigidity | Rigidity, Muscle | Rigidity, Muscular | Muscular Rigidity | Cogwheel Rigidity | Cogwheel Rigidities | Rigidities, Cogwheel | Rigidity, Cogwheel | Nuchal Rigidity | Rigidity, Nuchal | Extrapyramidal Rigidity | Rigidity, Extrapyramidal | Gegenhalten | Gegenhaltens | Catatonic Rigidity | Rigidity, Catatonic | Extensor Rigidity | Rigidity, Extensor",10009848,cogwheel rigidity
Parkinsonism,"Drug-induced parkinsonism | Parkinson's syndrome | Parkinsonism | Parkinsonism aggravated | Parkinsonism post encephalitic | Pseudoparkinsonism | Secondary parkinsonism | Syndrome Parkinson's | Syndrome Parkinsonism | Hypokinetic-rigid syndrome | Akinetic rigid syndrome | Viral parkinsonism | Parkinsonian Disorders | Parkinsonian Syndrome | Parkinsonian Syndromes | Parkinsonian Diseases | Autosomal Dominant Parkinsonism | Dominant Parkinsonism, Autosomal | Parkinsonism, Autosomal Dominant | Autosomal Recessive Juvenile Parkinson Disease | Chromosome 6-Linked Autosomal Recessive Parkinsonism | Chromosome 6 Linked Autosomal Recessive Parkinsonism | Familial Parkinson Disease, Autosomal Recessive | Juvenile Parkinson Disease, Autosomal Recessive | Juvenile Parkinsonism, Autosomal Recessive | Parkinsonism, Early Onset, with Diurnal Fluctuation | Parkinsonism, Juvenile, Autosomal Recessive | Parkinson Disease 2, Autosomal Recessive Juvenile | Parkinsonism, Early-Onset, With Diurnal Fluctuation | Parkinson Disease, Juvenile, Autosomal Recessive | Parkinson Disease 2 | Parkinson Disease Autosomal Recessive, Early Onset | Autosomal Recesssive Juvenile Parkinsonism | Parkinson Disease, Familial, Autosomal Recessive | Ramsay Hunt Paralysis Syndrome | Familial Juvenile Parkinsonism | Juvenile Parkinsonism, Familial | Parkinsonism, Familial Juvenile | Parkinsonism, Experimental | Experimental Parkinsonisms | Parkinsonisms, Experimental | Parkinson Disease, Experimental | Experimental Parkinsonism, MPTP-Induced | Experimental Parkinsonism, MPTP Induced | Parkinsonism, MPTP-Induced Experimental | MPTP-Induced Experimental Parkinsonism | MPTP Induced Experimental Parkinsonism | Experimental Parkinson Disease | Diseases, Experimental Parkinson | Experimental Parkinson Diseases | Parkinson Diseases, Experimental | Experimental Parkinsonism | Parkinsonism, Juvenile | Juvenile Parkinsonism | Juvenile Parkinsonisms | Parkinsonisms, Juvenile | Parkinson Disease, Juvenile | Juvenile Parkinson Disease | Autosomal Dominant Juvenile Parkinson Disease | Juvenile Parkinson Disease, Autosomal Dominant | Parkinsonism, Juvenile, Autosomal Dominant | Parkinson Disease, Autosomal Dominant. Juvenile | Parkinson Disease, Juvenile, Autosomal Dominant | Autosomal Dominant Juvenile Parkinsonism | Juvenile Parkinsonism, Autosomal Dominant | Autosomal Recessive Parkinsonism | Parkinsonism, Autosomal Recessive | Recessive Parkinsonism, Autosomal",10034010,parkinsonism
On and off phenomenon,On and off phenomenon | Motor fluctuations | Unpredictable off motor fluctuations,10030312,on and off phenomenon
Parkinsonian gait,Frozen gait | Gait rigid | Parkinsonian gait | Short-stepped gait,10056242,parkinsonian gait
Freezing phenomenon,Freezing phenomenon,10060904,freezing phenomenon
Parkinsonian rest tremor,Parkinsonian rest tremor | Pill rolling,10056437,parkinsonian rest tremor
Parkinson's disease,"Disease Parkinson's | Palsy shaking | Paralysis agitans | Parkinson's dis | Parkinson's disease aggravated | Parkinson's disease NOS | Parkinson's disease | End stage Parkinson's disease | Parkinson Disease | Idiopathic Parkinson's Disease | Lewy Body Parkinson Disease | Lewy Body Parkinson's Disease | Primary Parkinsonism | Parkinsonism, Primary | Parkinson Disease, Idiopathic | Parkinson's Disease | Parkinson's Disease, Idiopathic | Parkinson's Disease, Lewy Body | Idiopathic Parkinson Disease | Paralysis Agitans",10061536,parkinson's disease
Parkinsonian crisis,Parkinsonian crisis,10048868,parkinsonian crisis
Dopamine dysregulation syndrome,Dopamine dysregulation syndrome,10067468,dopamine dysregulation syndrome
Parkinsonism hyperpyrexia syndrome,Parkinsonism hyperpyrexia syndrome,10071243,parkinsonism hyperpyrexia syndrome
Parkinson's disease psychosis,Parkinson's disease psychosis,10074835,parkinson's disease psychosis
Propulsive gait,"Festinating gait | Gait festinating | Propulsive gait | Gait Disorders, Neurologic | Gait Disorder, Neurologic | Neurologic Gait Disorder | Neurologic Gait Disorders | Neurologic Locomotion Disorders | Locomotion Disorders, Neurologic | Locomotion Disorder, Neurologic | Neurologic Locomotion Disorder | Neurologic Ambulation Disorders | Ambulation Disorders, Neurologic | Ambulation Disorder, Neurologic | Neurologic Ambulation Disorder | Gait Dysfunction, Neurologic | Gait Dysfunctions, Neurologic | Neurologic Gait Dysfunction | Neurologic Gait Dysfunctions | Duck Gait | Gait, Duck | Gait Disorder, Sensorimotor | Gait Disorders, Sensorimotor | Sensorimotor Gait Disorders | Sensorimotor Gait Disorder | Gait, Athetotic | Athetotic Gait | Gait, Broadened | Broadened Gait | Gait, Drop Foot | Drop Foot Gait | Foot Gait, Drop | Gait, Festinating | Festinating Gait | Gait, Frontal | Frontal Gait | Gait, Hemiplegic | Hemiplegic Gait | Gait, Hysterical | Hysterical Gait | Gait, Reeling | Reeling Gait | Gait, Rigid | Rigid Gait | Gait, Scissors | Scissors Gait | Gait, Shuffling | Shuffling Gait | Shuffling Gaits | Gait, Spastic | Spastic Gait | Gait, Stumbling | Stumbling Gait | Gait, Unsteady | Unsteady Gait | Gait, Widebased | Widebased Gait | Marche a Petit Pas | Rapid Fatigue of Gait | Charcot Gait | Charcot Gaits | Gait, Charcot | Gaits, Charcot | Charcot's Gait | Charcots Gait | Gait, Charcot's",10082328,propulsive gait
Reduced facial expression,Face rigidity | Facies masked | Mask like expression | Mask like facies | Masked face | Masked facies | Reduced facial expression,10078576,reduced facial expression
Tremor (excl congenital),Not Available,10044566,tremor (excl congenital)
Asterixis,"Asterixis | Flapping tremor | Dyskinesias | Dyskinesia | Abnormal Movements | Abnormal Movement | Movement, Abnormal | Movements, Abnormal | Oral Dyskinesia | Dyskinesia, Oral | Dyskinesias, Oral | Oral Dyskinesias | Orofacial Dyskinesia | Dyskinesia, Orofacial | Dyskinesias, Orofacial | Orofacial Dyskinesias | Oral-Facial Dyskinesia | Dyskinesia, Oral-Facial | Dyskinesias, Oral-Facial | Oral Facial Dyskinesia | Oral-Facial Dyskinesias | Linguofacial Dyskinesia | Dyskinesia, Linguofacial | Dyskinesias, Linguofacial | Linguofacial Dyskinesias | Lingual-Facial-Buccal Dyskinesia | Dyskinesia, Lingual-Facial-Buccal | Dyskinesias, Lingual-Facial-Buccal | Lingual Facial Buccal Dyskinesia | Lingual-Facial-Buccal Dyskinesias | Tardive Oral Dyskinesia | Tardive Oral Dyskinesias | Hemiballismus | Hemiballism | Involuntary Movements | Involuntary Movement | Movement, Involuntary | Movements, Involuntary | Ballismus",10003547,asterixis
Tremor,"Essential and other specified forms of tremor | Parkinsonian-like tremor | Shakiness | Shaking | Shaking of hands | Tongue tremor | Tremble | Trembling | Tremor | Tremor coarse | Tremor fine | Tremor finger | Tremor limb | Tremor muscle | Tremor NEC | Tremor nerve | Tremor of hands | Tremor perioral | Tremor semirrhythmic | Tremulousness | Tremor aggravated | Tremors | Tremor, Semirhythmic | Semirhythmic Tremor | Semirhythmic Tremors | Tremors, Semirhythmic | Static Tremor | Static Tremors | Tremor, Static | Tremors, Static | Tremor, Limb | Limb Tremor | Limb Tremors | Tremors, Limb | Tremor, Muscle | Muscle Tremor | Muscle Tremors | Tremors, Muscle | Tremor, Neonatal | Neonatal Tremor | Neonatal Tremors | Tremors, Neonatal | Tremor, Nerve | Nerve Tremor | Nerve Tremors | Tremors, Nerve | Action Tremor | Action Tremors | Tremor, Action | Tremors, Action | Intention Tremor | Intention Tremors | Tremor, Intention | Tremors, Intention | Coarse Tremor | Coarse Tremors | Tremor, Coarse | Tremors, Coarse | Continuous Tremor | Continuous Tremors | Tremor, Continuous | Tremors, Continuous | Darkness Tremor | Darkness Tremors | Tremor, Darkness | Tremors, Darkness | Fine Tremor | Fine Tremors | Tremor, Fine | Tremors, Fine | Intermittent Tremor | Intermittent Tremors | Tremor, Intermittent | Tremors, Intermittent | Involuntary Quiver | Involuntary Quivers | Quiver, Involuntary | Quivers, Involuntary | Massive Tremor | Massive Tremors | Tremor, Massive | Tremors, Massive | Passive Tremor | Passive Tremors | Tremor, Passive | Tremors, Passive | Persistent Tremor | Persistent Tremors | Tremor, Persistent | Tremors, Persistent | Pill Rolling Tremor | Pill Rolling Tremors | Rolling Tremor, Pill | Rolling Tremors, Pill | Tremor, Pill Rolling | Tremors, Pill Rolling | Resting Tremor | Resting Tremors | Tremor, Resting | Tremors, Resting | Rest Tremor | Rest Tremors | Tremor, Rest | Tremors, Rest | Tremor, Perioral | Perioral Tremor | Perioral Tremors | Tremors, Perioral | Saturnine Tremor | Saturnine Tremors | Tremor, Saturnine | Tremors, Saturnine | Senile Tremor | Senile Tremors | Tremor, Senile | Tremors, Senile",10044565,tremor
Essential tremor,"Benign essential tremor | Essential tremor | Essential Tremor | Essential Tremors | Tremor, Essential | Tremors, Essential | Benign Essential Tremor | Benign Essential Tremors | Essential Tremor, Benign | Essential Tremors, Benign | Tremor, Benign Essential | Tremors, Benign Essential | Familial Tremor | Familial Tremors | Tremor, Familial | Tremors, Familial | Hereditary Essential Tremor",10015496,essential tremor
Intention tremor,"Intention tremor | Tremor intention | Tremor | Tremors | Tremor, Semirhythmic | Semirhythmic Tremor | Semirhythmic Tremors | Tremors, Semirhythmic | Static Tremor | Static Tremors | Tremor, Static | Tremors, Static | Tremor, Limb | Limb Tremor | Limb Tremors | Tremors, Limb | Tremor, Muscle | Muscle Tremor | Muscle Tremors | Tremors, Muscle | Tremor, Neonatal | Neonatal Tremor | Neonatal Tremors | Tremors, Neonatal | Tremor, Nerve | Nerve Tremor | Nerve Tremors | Tremors, Nerve | Action Tremor | Action Tremors | Tremor, Action | Tremors, Action | Intention Tremor | Intention Tremors | Tremor, Intention | Tremors, Intention | Coarse Tremor | Coarse Tremors | Tremor, Coarse | Tremors, Coarse | Continuous Tremor | Continuous Tremors | Tremor, Continuous | Tremors, Continuous | Darkness Tremor | Darkness Tremors | Tremor, Darkness | Tremors, Darkness | Fine Tremor | Fine Tremors | Tremor, Fine | Tremors, Fine | Intermittent Tremor | Intermittent Tremors | Tremor, Intermittent | Tremors, Intermittent | Involuntary Quiver | Involuntary Quivers | Quiver, Involuntary | Quivers, Involuntary | Massive Tremor | Massive Tremors | Tremor, Massive | Tremors, Massive | Passive Tremor | Passive Tremors | Tremor, Passive | Tremors, Passive | Persistent Tremor | Persistent Tremors | Tremor, Persistent | Tremors, Persistent | Pill Rolling Tremor | Pill Rolling Tremors | Rolling Tremor, Pill | Rolling Tremors, Pill | Tremor, Pill Rolling | Tremors, Pill Rolling | Resting Tremor | Resting Tremors | Tremor, Resting | Tremors, Resting | Rest Tremor | Rest Tremors | Tremor, Rest | Tremors, Rest | Tremor, Perioral | Perioral Tremor | Perioral Tremors | Tremors, Perioral | Saturnine Tremor | Saturnine Tremors | Tremor, Saturnine | Tremors, Saturnine | Senile Tremor | Senile Tremors | Tremor, Senile | Tremors, Senile",10022520,intention tremor
Head titubation,Nodding of head | Head titubation | Head tremor,10064950,head titubation
Action tremor,"Action tremor | Tremor | Tremors | Tremor, Semirhythmic | Semirhythmic Tremor | Semirhythmic Tremors | Tremors, Semirhythmic | Static Tremor | Static Tremors | Tremor, Static | Tremors, Static | Tremor, Limb | Limb Tremor | Limb Tremors | Tremors, Limb | Tremor, Muscle | Muscle Tremor | Muscle Tremors | Tremors, Muscle | Tremor, Neonatal | Neonatal Tremor | Neonatal Tremors | Tremors, Neonatal | Tremor, Nerve | Nerve Tremor | Nerve Tremors | Tremors, Nerve | Action Tremor | Action Tremors | Tremor, Action | Tremors, Action | Intention Tremor | Intention Tremors | Tremor, Intention | Tremors, Intention | Coarse Tremor | Coarse Tremors | Tremor, Coarse | Tremors, Coarse | Continuous Tremor | Continuous Tremors | Tremor, Continuous | Tremors, Continuous | Darkness Tremor | Darkness Tremors | Tremor, Darkness | Tremors, Darkness | Fine Tremor | Fine Tremors | Tremor, Fine | Tremors, Fine | Intermittent Tremor | Intermittent Tremors | Tremor, Intermittent | Tremors, Intermittent | Involuntary Quiver | Involuntary Quivers | Quiver, Involuntary | Quivers, Involuntary | Massive Tremor | Massive Tremors | Tremor, Massive | Tremors, Massive | Passive Tremor | Passive Tremors | Tremor, Passive | Tremors, Passive | Persistent Tremor | Persistent Tremors | Tremor, Persistent | Tremors, Persistent | Pill Rolling Tremor | Pill Rolling Tremors | Rolling Tremor, Pill | Rolling Tremors, Pill | Tremor, Pill Rolling | Tremors, Pill Rolling | Resting Tremor | Resting Tremors | Tremor, Resting | Tremors, Resting | Rest Tremor | Rest Tremors | Tremor, Rest | Tremors, Rest | Tremor, Perioral | Perioral Tremor | Perioral Tremors | Tremors, Perioral | Saturnine Tremor | Saturnine Tremors | Tremor, Saturnine | Tremors, Saturnine | Senile Tremor | Senile Tremors | Tremor, Senile | Tremors, Senile",10072413,action tremor
Resting tremor,"Resting tremor | Tremor | Tremors | Tremor, Semirhythmic | Semirhythmic Tremor | Semirhythmic Tremors | Tremors, Semirhythmic | Static Tremor | Static Tremors | Tremor, Static | Tremors, Static | Tremor, Limb | Limb Tremor | Limb Tremors | Tremors, Limb | Tremor, Muscle | Muscle Tremor | Muscle Tremors | Tremors, Muscle | Tremor, Neonatal | Neonatal Tremor | Neonatal Tremors | Tremors, Neonatal | Tremor, Nerve | Nerve Tremor | Nerve Tremors | Tremors, Nerve | Action Tremor | Action Tremors | Tremor, Action | Tremors, Action | Intention Tremor | Intention Tremors | Tremor, Intention | Tremors, Intention | Coarse Tremor | Coarse Tremors | Tremor, Coarse | Tremors, Coarse | Continuous Tremor | Continuous Tremors | Tremor, Continuous | Tremors, Continuous | Darkness Tremor | Darkness Tremors | Tremor, Darkness | Tremors, Darkness | Fine Tremor | Fine Tremors | Tremor, Fine | Tremors, Fine | Intermittent Tremor | Intermittent Tremors | Tremor, Intermittent | Tremors, Intermittent | Involuntary Quiver | Involuntary Quivers | Quiver, Involuntary | Quivers, Involuntary | Massive Tremor | Massive Tremors | Tremor, Massive | Tremors, Massive | Passive Tremor | Passive Tremors | Tremor, Passive | Tremors, Passive | Persistent Tremor | Persistent Tremors | Tremor, Persistent | Tremors, Persistent | Pill Rolling Tremor | Pill Rolling Tremors | Rolling Tremor, Pill | Rolling Tremors, Pill | Tremor, Pill Rolling | Tremors, Pill Rolling | Resting Tremor | Resting Tremors | Tremor, Resting | Tremors, Resting | Rest Tremor | Rest Tremors | Tremor, Rest | Tremors, Rest | Tremor, Perioral | Perioral Tremor | Perioral Tremors | Tremors, Perioral | Saturnine Tremor | Saturnine Tremors | Tremor, Saturnine | Tremors, Saturnine | Senile Tremor | Senile Tremors | Tremor, Senile | Tremors, Senile",10071390,resting tremor
Postural tremor,Postural tremor,10073211,postural tremor
Tremor neonatal,Tremor neonatal,10044575,tremor neonatal
Holmes tremor,Holmes tremor,10069099,holmes tremor
Laryngeal tremor,Laryngeal tremor,10078751,laryngeal tremor
Orthostatic tremor,Orthostatic tremor,10069917,orthostatic tremor
Neurological disorders NEC,Not Available,10029305,neurological disorders nec
Abnormal reflexes,"Reflex, Abnormal | Reflexes, Abnormal | Abnormal Reflex | Abnormal Reflexes | Reflex, Triceps, Absent | Reflex, Ankle, Decreased | Reflex, Biceps, Abnormal | Reflex, Biceps, Absent | Reflex, Biceps, Decreased | Reflex, Anal, Decreased | Reflex, Ankle, Abnormal | Abnormal Deep Tendon Reflex | Reflex, Deep Tendon, Abnormal | Bulbocavernosus Reflex, Decreased | Decreased Bulbocavernosus Reflex | Reflex, Decreased Bulbocavernosus | Bulbocavernousus Reflex Absent | Reflex Absent, Bulbocavernousus | Hoffman's Reflex | Reflex, Hoffman's | Hyperreflexia | Hyporeflexia | Reflex, Decreased | Decreased Reflex | Palmo-Mental Reflex | Palmo Mental Reflex | Reflex, Palmo-Mental | Reflex, Absent | Absent Reflex | Reflex, Acoustic, Abnormal | Reflex, Anal, Absent | Reflex, Corneal, Absent | Reflex, Corneal, Decreased | Reflex, Deep Tendon, Absent | Reflex, Gag, Absent | Reflex, Gag, Decreased | Reflex, Knee, Abnormal | Reflex, Knee, Decreased | Reflex, Moro, Asymmetric | Reflex, Pendular | Pendular Reflex | Reflex, Triceps, Abnormal | Reflex, Triceps, Decreased | Reflex, Ankle, Absent",10000171,abnormal reflexes
Areflexia,"Absent ankle jerk | Absent ankle jerks | Absent reflex | Absent reflexes | Areflexia | PSR/ASR loss | Reflex loss | Reflexes absent | Loss of gag reflex | Patellar tendon reflex absent | Tendon reflex absent | Cremasteric reflex absent | Reflex, Abnormal | Reflexes, Abnormal | Abnormal Reflex | Abnormal Reflexes | Reflex, Triceps, Absent | Reflex, Ankle, Decreased | Reflex, Biceps, Abnormal | Reflex, Biceps, Absent | Reflex, Biceps, Decreased | Reflex, Anal, Decreased | Reflex, Ankle, Abnormal | Abnormal Deep Tendon Reflex | Reflex, Deep Tendon, Abnormal | Bulbocavernosus Reflex, Decreased | Decreased Bulbocavernosus Reflex | Reflex, Decreased Bulbocavernosus | Bulbocavernousus Reflex Absent | Reflex Absent, Bulbocavernousus | Hoffman's Reflex | Reflex, Hoffman's | Hyperreflexia | Hyporeflexia | Reflex, Decreased | Decreased Reflex | Palmo-Mental Reflex | Palmo Mental Reflex | Reflex, Palmo-Mental | Reflex, Absent | Absent Reflex | Reflex, Acoustic, Abnormal | Reflex, Anal, Absent | Reflex, Corneal, Absent | Reflex, Corneal, Decreased | Reflex, Deep Tendon, Absent | Reflex, Gag, Absent | Reflex, Gag, Decreased | Reflex, Knee, Abnormal | Reflex, Knee, Decreased | Reflex, Moro, Asymmetric | Reflex, Pendular | Pendular Reflex | Reflex, Triceps, Abnormal | Reflex, Triceps, Decreased | Reflex, Ankle, Absent",10003084,areflexia
Hyperreflexia,"Achilles tendon reflex exaggerated | Exaggerated reflexes | Hyperreflexia | Increased reflexes | Patellar tendon reflex increased | Reflex positive pathological | Reflexes increased | Reflexes tendon increased | Tendon reflex exaggerated | Reflex, Abnormal | Reflexes, Abnormal | Abnormal Reflex | Abnormal Reflexes | Reflex, Triceps, Absent | Reflex, Ankle, Decreased | Reflex, Biceps, Abnormal | Reflex, Biceps, Absent | Reflex, Biceps, Decreased | Reflex, Anal, Decreased | Reflex, Ankle, Abnormal | Abnormal Deep Tendon Reflex | Reflex, Deep Tendon, Abnormal | Bulbocavernosus Reflex, Decreased | Decreased Bulbocavernosus Reflex | Reflex, Decreased Bulbocavernosus | Bulbocavernousus Reflex Absent | Reflex Absent, Bulbocavernousus | Hoffman's Reflex | Reflex, Hoffman's | Hyporeflexia | Reflex, Decreased | Decreased Reflex | Palmo-Mental Reflex | Palmo Mental Reflex | Reflex, Palmo-Mental | Reflex, Absent | Absent Reflex | Reflex, Acoustic, Abnormal | Reflex, Anal, Absent | Reflex, Corneal, Absent | Reflex, Corneal, Decreased | Reflex, Deep Tendon, Absent | Reflex, Gag, Absent | Reflex, Gag, Decreased | Reflex, Knee, Abnormal | Reflex, Knee, Decreased | Reflex, Moro, Asymmetric | Reflex, Pendular | Pendular Reflex | Reflex, Triceps, Abnormal | Reflex, Triceps, Decreased | Reflex, Ankle, Absent",10020745,hyperreflexia
Hyporeflexia,"Achilles tendon reflex decreased | Diminished reflexes | Hyporeflexia | Lower extremities deep decreased reflex test | Patellar tendon reflex decreased | Reflexes decreased | Reflexes tendon decreased absent | Tendon reflex decreased | Retching reflex decreased | Poor swallowing reflex | Reflex, Abnormal | Reflexes, Abnormal | Abnormal Reflex | Abnormal Reflexes | Reflex, Triceps, Absent | Reflex, Ankle, Decreased | Reflex, Biceps, Abnormal | Reflex, Biceps, Absent | Reflex, Biceps, Decreased | Reflex, Anal, Decreased | Reflex, Ankle, Abnormal | Abnormal Deep Tendon Reflex | Reflex, Deep Tendon, Abnormal | Bulbocavernosus Reflex, Decreased | Decreased Bulbocavernosus Reflex | Reflex, Decreased Bulbocavernosus | Bulbocavernousus Reflex Absent | Reflex Absent, Bulbocavernousus | Hoffman's Reflex | Reflex, Hoffman's | Hyperreflexia | Reflex, Decreased | Decreased Reflex | Palmo-Mental Reflex | Palmo Mental Reflex | Reflex, Palmo-Mental | Reflex, Absent | Absent Reflex | Reflex, Acoustic, Abnormal | Reflex, Anal, Absent | Reflex, Corneal, Absent | Reflex, Corneal, Decreased | Reflex, Deep Tendon, Absent | Reflex, Gag, Absent | Reflex, Gag, Decreased | Reflex, Knee, Abnormal | Reflex, Knee, Decreased | Reflex, Moro, Asymmetric | Reflex, Pendular | Pendular Reflex | Reflex, Triceps, Abnormal | Reflex, Triceps, Decreased | Reflex, Ankle, Absent",10021089,hyporeflexia
Extensor plantar response,"Babinski sign positive | Extensor plantar response | Plantar response extensor | Positive Babinski | Positive Babinski response | Reflex Babinski positive | Reflex plantar extensor | Reflex plantar upgoing | Sign Babinski present | Upgoing plantars | Reflex, Babinski | Reflexes, Babinski | Babinski Reflex | Extensor Plantar Response | Great Toe Paradoxical Extensor Reflex | Babinski Sign | Babinski Sign Positive | Babinski's Reflex | Reflex, Babinski's | Babinski's Sign | Extensor Plantar Reflex | Babinski Reflexes | Paradoxical Extensor Reflex, Great Toe | Babinski Sign Absent | Babinski Sign Negative",10015727,extensor plantar response
Reflexes abnormal,"Abnormal reflex | Reflexes abnormal | Reflexes abnormal NEC | Unequal reflexes | Reflex, Abnormal | Reflexes, Abnormal | Abnormal Reflex | Abnormal Reflexes | Reflex, Triceps, Absent | Reflex, Ankle, Decreased | Reflex, Biceps, Abnormal | Reflex, Biceps, Absent | Reflex, Biceps, Decreased | Reflex, Anal, Decreased | Reflex, Ankle, Abnormal | Abnormal Deep Tendon Reflex | Reflex, Deep Tendon, Abnormal | Bulbocavernosus Reflex, Decreased | Decreased Bulbocavernosus Reflex | Reflex, Decreased Bulbocavernosus | Bulbocavernousus Reflex Absent | Reflex Absent, Bulbocavernousus | Hoffman's Reflex | Reflex, Hoffman's | Hyperreflexia | Hyporeflexia | Reflex, Decreased | Decreased Reflex | Palmo-Mental Reflex | Palmo Mental Reflex | Reflex, Palmo-Mental | Reflex, Absent | Absent Reflex | Reflex, Acoustic, Abnormal | Reflex, Anal, Absent | Reflex, Corneal, Absent | Reflex, Corneal, Decreased | Reflex, Deep Tendon, Absent | Reflex, Gag, Absent | Reflex, Gag, Decreased | Reflex, Knee, Abnormal | Reflex, Knee, Decreased | Reflex, Moro, Asymmetric | Reflex, Pendular | Pendular Reflex | Reflex, Triceps, Abnormal | Reflex, Triceps, Decreased | Reflex, Ankle, Absent",10038254,reflexes abnormal
Glabellar reflex abnormal,Glabellar reflex abnormal | Nasopalpebral reflex abnormal,10058486,glabellar reflex abnormal
Poor sucking reflex,Poor sucking reflex,10058605,poor sucking reflex
Hoffmann's sign,Hoffmann's sign,10058444,hoffmann's sign
Oculocephalogyric reflex absent,Oculocephalogyric reflex absent,10050002,oculocephalogyric reflex absent
Palmomental reflex,Palmomental reflex | Marinesco-Radovici reflex | Palm-chin reflex,10051852,palmomental reflex
Coordination and balance disturbances,Not Available,10072984,coordination and balance disturbances
Ataxia,"Ataxia | Ataxia NEC | Ataxic | Ataxic gait | Ataxia aggravated | Dystaxia | Spastic ataxia | Sensory ataxia | Kinetic ataxia | Motor ataxia | Ataxias | Coordination Impairment | Coordination Impairments | Impairment, Coordination | Impairments, Coordination | Dyssynergia | Ataxy | Ataxia, Motor | Ataxias, Motor | Motor Ataxia | Motor Ataxias | Tremor, Rubral | Rubral Tremor | Rubral Tremors | Tremors, Rubral | Ataxia, Truncal | Ataxias, Truncal | Truncal Ataxia | Truncal Ataxias | Dyscoordination | Lack of Coordination | Coordination Lack | Incoordination | Incoordinations | Ataxia, Appendicular | Appendicular Ataxia | Appendicular Ataxias | Ataxias, Appendicular | Ataxia, Limb | Ataxias, Limb | Limb Ataxia | Limb Ataxias | Ataxia, Sensory | Ataxias, Sensory | Sensory Ataxia | Sensory Ataxias",10003591,ataxia
Cerebellar syndrome,"Cerebellar syndrome | Syndrome cerebellar | Neocerebellar syndrome | Cerebellar Diseases | Cerebellar Disease | Disease, Cerebellar | Cerebellum Diseases | Cerebellum Disease | Disease, Cerebellum | Cerebellar Syndromes | Cerebellar Syndrome | Syndrome, Cerebellar | Cerebellar Disorders | Cerebellar Disorder | Disorder, Cerebellar | Cerebellar Dysfunction | Cerebellar Dysfunctions | Dysfunction, Cerebellar",10008072,cerebellar syndrome
Coordination abnormal,"Asynergia | Coordination abnormal | Coordination abnormal NOS | Coordination disturbance | Coordination impaired | Coordination was decreased | Decrease in coordination | Incoordination | Instability station | Lack of coordination | Muscular incoordination | One leg standing difficult | Sense of position abnormal | Station abnormal | Ataxia | Ataxias | Coordination Impairment | Coordination Impairments | Impairment, Coordination | Impairments, Coordination | Dyssynergia | Ataxy | Ataxia, Motor | Ataxias, Motor | Motor Ataxia | Motor Ataxias | Tremor, Rubral | Rubral Tremor | Rubral Tremors | Tremors, Rubral | Ataxia, Truncal | Ataxias, Truncal | Truncal Ataxia | Truncal Ataxias | Dyscoordination | Lack of Coordination | Coordination Lack | Incoordinations | Ataxia, Appendicular | Appendicular Ataxia | Appendicular Ataxias | Ataxias, Appendicular | Ataxia, Limb | Ataxias, Limb | Limb Ataxia | Limb Ataxias | Ataxia, Sensory | Ataxias, Sensory | Sensory Ataxia | Sensory Ataxias",10010947,coordination abnormal
Dysmetria,"Dysmetria | Hypermetria | Hypometria | Cerebellar Ataxia | Cerebellar Incoordination | Cerebellar Incoordinations | Incoordination, Cerebellar | Incoordinations, Cerebellar | Ataxia, Cerebellar | Ataxias, Cerebellar | Cerebellar Ataxias | Cerebellar Hemiataxia | Cerebellar Hemiataxias | Hemiataxia, Cerebellar | Hemiataxias, Cerebellar | Cerebellar Dysmetria | Cerebellar Dysmetrias | Dysmetria, Cerebellar | Dysmetrias, Cerebellar | Dysmetrias | Hypermetrias | Adiadochokinesis | Adiadochokineses",10013936,dysmetria
