idx,se_name,se_text
132,Dermatitis exfoliative,"Dermatitis exfoliative. Also known as: Dermatitis exfoliative, Dermatitis exfoliative NOS, Exfoliative dermatitis"
133,Somnolence,"Somnolence. Also known as: Daytime sleepiness, Drowsiness, Drowsy on awakening"
134,Pancytopenia,"Pancytopenia. Also known as: Pancytopenia, Secondary pancytopenia, Pancytopenia aggravated"
135,Arthritis,"Arthritis. Also known as: Arthritis, Arthritis aggravated, Arthritis NOS"
136,Muscle spasms,"Muscle spasms. Also known as: Cramp, Cramp in hand, Cramp in legs thighs"
137,Eczema,"Eczema. Also known as: Dermatitis eczematoid, Eczema, Eczema (rash) in the outer ear"
138,Swelling,"Swelling. Also known as: Arms swollen red hot, Feeling swollen, Groin swelling"
139,Hyperhidrosis,"Hyperhidrosis. Also known as: Diaphoresis, Drenching sweats, Excess sweating"
140,Dermatitis,"Dermatitis. Also known as: Acrodermatitis, Dermatitic reaction of face, Dermatitic reaction of neck"
141,Lethargy,"Lethargy. Also known as: Lethargic, Lethargic tendency, Lethargy"
142,Purpura,"Purpura. Also known as: Dermatitis haemorrhagic, Dermatitis hemorrhagic, Haemolytic type rash"
143,Asthma,"Asthma. Also known as: Allergic asthma, Asthma, Asthma aggravated"
144,Cardiac failure,"Cardiac failure. Also known as: Cardiac failure, Cardiac failure (NOS), Cardiac failure aggravated"
145,Cerebrovascular accident,"Cerebrovascular accident. Also known as: Accident cerebrovascular, Apoplexy, Cerebrovascular accident"
146,Nasal congestion,"Nasal congestion. Also known as: Congestion nasal, Nasal congestion, Nasal stuffiness"
147,Connective tissue disorder,"Connective tissue disorder. Also known as: Connective tissue disorder NOS, Diffuse diseases of connective tissue, Other specified diffuse diseases of connective tissue"
148,Urinary incontinence,"Urinary incontinence. Also known as: Bladder incontinence, Dribbling of urine, Incontinence of urine"
149,Hyperhidrosis,"Hyperhidrosis. Also known as: Diaphoresis, Drenching sweats, Excess sweating"
150,Psychotic disorder,"Psychotic disorder. Also known as: Other nonorganic psychoses, Paranoid psychosis, Psychogenic paranoid psychosis"
151,Hepatobiliary disease,"Hepatobiliary disease. Also known as: Hepatobiliary disease NOS, Hepatobiliary disease"
152,Irritability,"Irritability. Also known as: Erethism, Feeling irritated, Irritability"
153,Increased appetite,"Increased appetite. Also known as: Appetite exaggerated, Appetite excessive, Appetite increased NOS"
154,Hepatic failure,"Hepatic failure. Also known as: Failure liver, Hepatic failure, Liver failure"
155,Amnesia,"Amnesia. Also known as: Amnesia, Amnesia NEC, Amnesia transient"
156,Dry eye,"Dry eye. Also known as: Conjunctival xerosis, Dry eye, Dry eye NOS"
157,Renal failure,"Renal failure. Also known as: Failure kidney, Insufficiency renal, Kidney failure"
158,Ear pain,"Ear pain. Also known as: Ear ache, Ear pain, Earache"
159,Aggression,"Aggression. Also known as: Aggression, Aggression aggravated, Aggressive behaviour"
160,Thirst,"Thirst. Also known as: Effects of thirst, Excessive thirst, Increased thirst"
161,Blood creatinine increased,"Blood creatinine increased. Also known as: Blood creatinine increased, Creatinine blood increased, Creatinine high"
162,Rhabdomyolysis,"Rhabdomyolysis. Also known as: Muscle dissolution, Rhabdomyolysis, Rhabdomyolyses"
163,Photosensitivity reaction,"Photosensitivity reaction. Also known as: Contact dermatitis and other eczema due to solar radiation, Dermatitis of exposed site, Dermatitis photosensitive"
164,Shock,"Shock. Also known as: Clinically shocked, Other shock without mention of trauma, Postoperative shock, not elsewhere classified"
165,Hypertonia,"Hypertonia. Also known as: Generally increased tone, Hypertonia, Hypertonicity"
166,Gynaecomastia,"Gynaecomastia. Also known as: Breast enlargement male, Breast enlargement male bilateral, Enlargement breast male"
167,Sepsis,"Sepsis. Also known as: Other specified septicaemias, Other specified septicemias, Pyaemia"
168,Infestation,"Infestation. Also known as: Infestation NOS, Infestation, unspecified, Other infestation"
169,Urine output increased,"Urine output increased. Also known as: Urine volume increased, Urine output increased, Urine volume 24 hour increased"
170,Cardiac failure congestive,"Cardiac failure congestive. Also known as: Bi-ventricular failure, Cardiac failure congestive, Cardiac failure, congestive"
171,Coordination abnormal,"Coordination abnormal. Also known as: Asynergia, Coordination abnormal, Coordination abnormal NOS"
172,Blood urea increased,"Blood urea increased. Also known as: Blood urea increased, Blood urea nitrogen increased, BUN increased"
173,Lymphadenopathy,"Lymphadenopathy. Also known as: Adenopathy, Axillary adenopathy, Axillary lymph nodes enlarged"
174,Pulmonary embolism,"Pulmonary embolism. Also known as: Acute massive pulmonary embolism, Acute P.E., Chronic P.E."
175,Hyperkalaemia,"Hyperkalaemia. Also known as: Hyperkalaemia, Hyperkalemia, Hyperpotassaemia"
176,Muscular weakness,"Muscular weakness. Also known as: Hands weakness of, Lower extremities weakness of, Muscle weakness"
177,Disturbance in sexual arousal,"Disturbance in sexual arousal. Also known as: Disturbance in arousal NOS, Increased sexual arousal, Sexual arousal decreased"
178,Salivary hypersecretion,"Salivary hypersecretion. Also known as: Hypersalivation, Increased salivation, Ptyalism"
179,Eructation,"Eructation. Also known as: Belching, Burbulence, Burping"
180,Gout,"Gout. Also known as: Articular gout, Gout, Gout acute"
181,Pulmonary oedema,"Pulmonary oedema. Also known as: Edema lung, Edema pulmonary, Lung edema"
182,Neuropathy peripheral,"Neuropathy peripheral. Also known as: Hereditary and idiopathic peripheral neuropathy, Hereditary and idiopathic peripheral neuropathy, other, Inflammatory and toxic neuropathy"
183,Muscle spasms,"Muscle spasms. Also known as: Cramp, Cramp in hand, Cramp in legs thighs"
184,Abdominal discomfort,"Abdominal discomfort. Also known as: Abdo. discomfort, Abdomen burning sensation of, Abdominal discomfort"
185,Ventricular extrasystoles,"Ventricular extrasystoles. Also known as: Extrasystole ventricular, Extrasystole ventricular bigeminy, Extrasystoles ventricular"
186,Visual impairment,"Visual impairment. Also known as: Abnormal retinal correspondence, Abnormal vision, Abnormal vision NOS"
187,Euphoric mood,"Euphoric mood. Also known as: Elevated mood, Euphoria, Euphoric"
188,Photophobia,"Photophobia. Also known as: Exacerbation of photophobia, Eyes sensitive to sunlight, Photophobia"
189,Gait disturbance,"Gait disturbance. Also known as: Abnormal gait, Abnormality of gait, Difficulty in walking"
190,Nightmare,"Nightmare. Also known as: Bad dreams, Brief nightmare, Dream anxiety disorder"
191,Dyskinesia,"Dyskinesia. Also known as: Abnormal involuntary movements, Acute dyskinesia, Body movements involuntary"
192,Disorientation,"Disorientation. Also known as: Disorientated, Disorientation, Nocturnal disorientation"
193,Abnormal dreams,"Abnormal dreams. Also known as: Abnormal dreams, Bizarre dreams, Dream delirium"
194,Dizziness,"Dizziness. Also known as: Dizziness, Dizziness (excl vertigo), Dizziness and giddiness"
195,Photosensitivity reaction,"Photosensitivity reaction. Also known as: Contact dermatitis and other eczema due to solar radiation, Dermatitis of exposed site, Dermatitis photosensitive"
196,Ecchymosis,"Ecchymosis. Also known as: Ecchymoses, Ecchymosis, Ecchymosis NOS"
197,Rash maculo-papular,"Rash maculo-papular. Also known as: Maculo-papular, Maculo-papular rash, Maculopapular rash"
198,Nocturia,"Nocturia. Also known as: Nocturia, Nocturia aggravated, Nocturnal frequency"
199,Bone pain,"Bone pain. Also known as: Bone pain, Bone pain aggravated, Bone swelling painful"
200,Rectal haemorrhage,"Rectal haemorrhage. Also known as: Bleeding PR (excl gut haemorrhage and piles), Bleeding rectal, Haemorrhage from rectum (excl intestinal/piles)"
201,Blood alkaline phosphatase increased,"Blood alkaline phosphatase increased. Also known as: Al-P increased, Alk phos raised, Alkaline phosphastase serum increase"
202,Anaphylactic shock,"Anaphylactic shock. Also known as: Anaphylactic shock, Anaphylactic shock due to adverse food reaction, Anaphylactic shock due to crustaceans"
203,Bladder pain,"Bladder pain. Also known as: Bladder cramps, Bladder pain, Cystalgia"
204,Cardiac arrest,"Cardiac arrest. Also known as: Arrest cardiac, Asystole, Asystolia"
